word,frequency
tysaile,9340
raastriy,2000
bibhuti,79
amr,1301
sihn,36
thaapaa,14643
killaakai,128
raakhieko,551
anklmaa,118
sudurpshkimaanykl,69
gaaaun,10031
smiti,13286
aitihaasik,14797
naammaa,3633
ngarpaalikaako,146
thaapaale,1108
sudurpshkimaanykl,798
amrsinh,1161
dipaayl,507
silgadhi,643
sudurpskimaankl,10
doti,2562
avsthit,1183
dipaalyl,50
ndiko,7723
kinaar,661
silgadhimaa,74
silgadhiko,154
pshkimaanklko,1
pshkimaankl,80
kinaarmaa,2938
dipaayl,10
2039maa,14
ghosnaa,8185
yskaa,10593
ngarprmukh,443
shivshngkr,28
bhtt,455
pchillaa,1173
purnraaj,28
joshi,1213
sudur,928
paalikaa,214
kaarylyhru,364
saalmaa,14539
rmniy,291
pauraanik,3226
sthaapnaa,26303
kot,930
silgadhikaa,8
pnykaaytkaa,16
vdaahrukaa,8
tikhaa,16
rnaagaaaun,8
bhubhaagahrulaai,132
pnykaayt,1628
bnaaieko,4289
aarmbhmaa,548
raakhieko,5586
ngarpaalikaalaai,390
bbr,56
daandaa,2207
gaaavishruko,227
bhubhaagalaai,383
smaaves,185
vdaa,5251
bnaainu,66
yslaai,19047
tys,25909
loktaantrik,2452
gantntr,8115
sthaapnaasngaai,8
snvidhaan,4365
2072ko,41
pshkaat,5057
sthaaniy,7747
mntraalyko,1423
raajyko,7431
punrsnrknaa,89
naallaai,2883
thhrumaa,8
vistaar,5222
bhi,2381
saavikkaa,326
klaa,8
ldaagadaa,8
gaaavisko,2796
bhubhaagakaa,80
bgalek,8
khtivdaa,449
gaaaviskaa,572
vdaahrulaai,8
ngarlaai,675
dhaarmik,17570
rupmaamaa,6
bhgavaan,11435
raamkaa,30
purkhaa,468
diliple,8
tpsyaa,1933
gari,5624
dilpeshvr,8
mth,3832
sknd,113
puraanko,80
maans,56
khndmaa,1676
vrnit,2227
kndngairi,8
prvt,6606
haalko,5511
ngarmaa,1480
ysaigari,1338
sudurpshkimki,8
bhgavti,2224
shaileshvri,8
deviko,4060
rupmaamaa,29
khaandbaari,191
khaandvaari,89
snkhuvaasbhaa,1409
sngkhuvaasbhaa,352
kainpurmaa,129
sn,4752
saarieko,285
sthit,6264
pokhri,4085
bhnine,3610
khullaa,3181
vrs,18626
agaaadismm,63
pokhriko,1060
vikmaa,133
thumko,25
thumkomaa,95
simliko,25
rukh,586
gaorkhaali,2165
sainikhrule,80
ekikrntaakaa,25
bhot,1849
prdeshko,1398
sair,25
frkndaa,125
pokhrivikko,25
thumkaamaa,34
pujaaaajaa,859
vdhaai,25
laagaaa,1866
trvaar,164
khundaa,133
dhoipkhaali,25
garekole,345
sthaanlaai,1003
khundaavaari,25
garinthyo,2480
yhi,10871
shbdko,5438
apbhrnsh,1720
khaandvaari,25
hundai,11711
jnshruti,1142
paainch,30178
kinvdnti,1276
jhaan,8155
arnaa,113
haanshru,6
gardthe,3409
raajyhru,471
paainthyo,26
yinihru,1518
aapsmaa,1829
ldaain,583
htiyaar,2329
khaando,105
pokhrimaa,1111
pkhaalne,60
khaand,25
gayo,6915
rhn,6219
bdhdai,3441
puriiskeko,25
kaaraitir,715
psl,513
